Date;Country;Day;Cases_Guinea;Cases_Liberia;Cases_SierraLeone;Cases_Nigeria;Case_Senegal;Cases_UnitedStates;Cases_Spain;Cases_Mali;Deaths_Guinea;Deaths_Liberia;Deaths_SierraLeone;Deaths_Nigeria;Deaths_Senegal;Deaths_UnitedStates;Deaths_Spain;Deaths_Mali
10/22/2014;Liberia;214;;;3896;;;4;1;1;;;1281;;;1;0;1
10/21/2014;Guinea;213;1553;;;;;;;;926;;;;;;;
10/19/2014;Sierra Leona;211;1540;;3706;20;1;3;1;;904;;1259;8;0;1;0;
10/18/2014;Sierra Leona;210;;4665;;;;;;;;2705;;;;;;
10/14/2014;Liberia;206;1519;;3410;20;1;3;1;;862;;1200;8;0;0;1;
10/13/2014;Liberia;205;;4262;;;;;;;;2484;;;;;;
10/12/2014;Guinea;204;1472;;3252;20;1;2;1;;843;;1183;8;0;1;1;
10/11/2014;Liberia;203;;4249;;;;;;;;2458;;;;;;
10/08/2014;Guinea;200;;;2950;20;1;1;1;;;;930;8;0;1;1;
10/07/2014;Liberia;199;1350;4076;;;;;;;778;2316;;;;;;
10/05/2014;Liberia;197;1298;;2789;20;1;1;;;768;;879;8;0;0;;
10/04/2014;Sierra Leona;196;;3924;;;;;;;;2210;;;;;;
10/01/2014;Sierra Leona;193;1199;3834;2437;20;1;1;;;739;2069;623;8;0;0;;
